SUMMARY
VIDEO TITLE,5 tips to improve logic building in programming
VIDEO PUBLISHED AT,2017-07-04T10:33:49Z
VIDEO ID,gJT-FaRf5JI
CHANNEL NAME,Hitesh Choudhary
VIEWS COUNT,464039
LIKES COUNT,13697
DISLIKES COUNT,421
COMMENTS COUNT,422
POSITIVE COMMENTS COUNT,191 (60.06%)
NEGATIVE COMMENTS COUNT,27 (8.49%)
NEUTRAL COMMENTS COUNT,100 (31.45%)
OVERALL,Positive comments with Overall Polarity 74.86
COMMENTS
S.No,Category,Author,Comment,Likes Count,Published At,Polarity
21,Positive Comment,Varad Deshpande,"For those who are in hurry-
The summary of the video is-
 0. experience is the key
1. Keep moving on- practice a problem 2-3 times only
2. Face new problems -every single day learn new things.
3. Check code written by others- learn methods and mistakes done by others- GitHub and open source libraries
4. Take help from Stack overflow- learn problems from above community of programmers. Search on Google also for solution 
5. Work on projects- build real life projects , move on on different languages- app, website, calculator etc.",0,2019-08-13T08:59:36Z,0.04458874458874459
22,Positive Comment,gkassel2,"Love your video, but please get rid of that annoying background music....  This is not the Jimmy Buffett Show...  With respect ofcourse :)",0,2019-07-29T18:11:52Z,0.06666666666666665
23,Positive Comment,Tariq Shabir Bhatti,you are really good man..,0,2019-07-28T20:29:07Z,0.7
24,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2019-07-27T05:17:50Z,0.30000000000000004
25,Positive Comment,Omi Khan,I did not understand your first point. Should I see the solve after 2 or 3 times trying?,0,2019-07-16T20:24:36Z,0.25
26,Positive Comment,Kirti Singh,Sir please give me a suggestion about web developer job and career in future because today's we mostly use apps in comparison of website so sir give your feedback about web developer career,0,2019-06-29T09:44:02Z,0.25
27,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2019-06-18T15:55:34Z,0.3722222222222222
28,Positive Comment,Sayeed Ahmed,I am new to programmeing so can u suggest  me a best site for learn,0,2019-06-14T15:53:47Z,0.5681818181818181
29,Positive Comment,Nishant Agrahari,Bhaiya which coding website is better for programming?,0,2019-06-11T18:13:13Z,0.5
30,Positive Comment,Tirichine Mohammed,"how to start planning when you face a new problem for the first time


and thank you by the way my friend",3,2019-06-09T10:49:22Z,0.19318181818181818
31,Positive Comment,Nitin Chaudhary,"i stated python language , teacher about to complete it. i am like really ... sometimes i find yeah i know but another day , its seems its i see it first time. 


( Please make video on how we manage program chapters ,want to know how can i plan to do chapters ).


 now i do practice from ""learn python"" , in app they give 60 questions , i reached hardly at 3-4 questions.",0,2019-06-06T11:50:11Z,0.06458333333333334
32,Positive Comment,Abin Joseph,How to get new new problems,0,2019-06-04T10:46:12Z,0.13636363636363635
33,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2019-04-14T12:41:17Z,1.0
34,Positive Comment,Mradul Tiwari,"Which is more important to learn from industry/real world perspective, Comptetive coding or development?",0,2019-04-09T18:59:48Z,0.45
35,Positive Comment,shanthi g,Could you please make videos on NodeJS? Thanks,0,2019-04-08T02:36:52Z,0.2
36,Positive Comment,Charlie Braganza,Thank you for this video it helps me a lot because I'm so weak enough in logic program  it motivated me more i hope you can you provide a video on how to easily memorize every terms like in java or c++,0,2019-04-08T02:24:38Z,0.13958333333333334
37,Positive Comment,Programming Video,True facts!,0,2019-03-20T06:41:13Z,0.4375
38,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2019-02-22T14:48:35Z,0.44999999999999996
39,Positive Comment,Swapnil Chotu,I am 25 years old and had been graduated in 2016 as a software engineer. I was working in the non-technical field since graduation now I earn enough money to start my career in Java development but I don't know what would be the best way to start programming because I am not a college student anymore so I have to manage time. please help me out with a best and effective way to become a good java developer.,0,2019-02-03T13:27:34Z,0.5666666666666668
40,Positive Comment,Srinivas Rao Gampala,your Explanation is awesome!!,0,2019-02-01T18:11:38Z,1.0
41,Positive Comment,H G,Background music in tutorial video should be banned. It is totally distracting and I can't focus on what you're saying. If you haven't already stopped doing this I would recommend that you do. Most YouTube users would agree I think.,0,2019-02-01T14:29:40Z,0.25
42,Positive Comment,Corby Programming,"This is good Hitesh .... soon i will post some videos and tips for improving programming skills from my experience working as a Senior for Amazon Uk and GoDaddy ! It's nice that you are giving back to dev community !",1,2019-01-28T16:25:52Z,0.4916666666666667
43,Positive Comment,Muhammad Salik,"I'm a beginner and really fond of programming. Can you guide me how should I start? This video really helped me, but the most vital fact is that how to commence programming and from where?",0,2019-01-26T04:11:39Z,0.25
44,Positive Comment,TECHNICAL QUERY,A simple big thank you bhaiyya I was thinking I would need to be a topper kind of student in maths to have good logic in programming language,8,2019-01-21T11:59:15Z,0.32499999999999996
45,Positive Comment,Jeelkumar Baraiya,thank u sir for such awesome tips,0,2019-01-10T15:17:01Z,0.5
46,Positive Comment,devasish yadav,"hey love you Hitesh sir ,you are always helping me to move up. Thankz a lot",1,2019-01-05T09:11:53Z,0.5
47,Positive Comment,sri kanth,thanks,0,2019-01-01T15:22:52Z,0.2
48,Positive Comment,Hi There,When I read this I thought he was going to talk about actual logical development. Building an app requires almost zero intelligence,0,2018-12-20T23:52:12Z,0.125
49,Positive Comment,arti choke,"Great, thank you!",0,2018-12-18T11:15:43Z,1.0
50,Positive Comment,Kas Pal,"For coding a certain program, you must completely know it in real life. If you can do it practically you can implement the same logic. But logic in coding is just broken into tiny pieces. Just remember that you know the solution and have to make computer understand.",2,2018-12-14T19:09:29Z,0.019047619047619035
51,Positive Comment,Subhasmita Jena,Last point is so meaningful for a student.,0,2018-12-07T13:57:13Z,0.25
52,Positive Comment,priyanth mohan,Thanks for the wonderful and motivational tips,0,2018-11-11T16:04:34Z,0.6
53,Positive Comment,zikra shafiq,really nice,0,2018-11-01T13:10:07Z,0.6
54,Positive Comment,Tushar Sachdeva,Quora is better than stack overflow for college,1,2018-10-30T17:55:40Z,0.5
55,Positive Comment,Shawn-David Ackroyd-Guay,"Very nice video! Just wanted to know what you think about doing some coding game puzzle. (on codingame.com, obviously)",0,2018-10-28T17:35:59Z,0.19166666666666668
56,Positive Comment,shaik usman,"Honest,Crisp & Crystal Clear.... Thanks for Awesome content Hitesh,  So far you are the Best Teacher on Programming... keep up the Good Work..",4,2018-10-22T07:52:32Z,0.5166666666666667
57,Positive Comment,Adrian Kasa,"Hi, I am not into programming, but now I want to learn, and I am 40 years, am I too old to learn programming at my age??? LOL",0,2018-10-20T04:11:06Z,0.45
58,Positive Comment,mounika reddy,Nice..,0,2018-10-20T03:05:29Z,0.6
59,Positive Comment,Atman Sangeetha mani,Thanks for your video bro. Let me try out on those five points. Thank you bro.,0,2018-10-16T14:36:17Z,0.2
60,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2018-10-09T04:30:36Z,1.0
61,Positive Comment,pritam behera,The perfect  procedure...,0,2018-10-06T07:39:35Z,1.0
62,Positive Comment,PJ D,stackOverflow == kind? LOL,15,2018-10-04T18:51:34Z,0.7
63,Positive Comment,shanu qurishi,What is stackflow community....  as u said tat v can get solutions for our questions...  Please kindly help me to get in tat community...  It's my humble request to u,0,2018-09-16T11:19:26Z,0.19999999999999998
64,Positive Comment,Rida Sabir,"hi, can anyone help me in finding the best website or tutorials for C# learning ?
i really need it",0,2018-09-14T10:15:29Z,0.6
65,Positive Comment,Tung Le Anh,"Super nice pov, tks man!",0,2018-09-07T23:32:23Z,0.5416666666666666
66,Positive Comment,priyam agarwal,"Hitesh sir i m new to coding......i have never done coding before.....but i want to be a good coder like you......and in my town,there r not that much good coder......some people advice me to do online courses......bit there if i have doubts then i will not get a solution.....pls tell me a solution for this.......i can spend some  money to be a good coder but i want to be go to the advance level in that language",0,2018-09-03T13:57:03Z,0.5590909090909091
67,Positive Comment,Manjunath Desai,Realy I liked your importance on motivation thank you so much bro,0,2018-08-25T15:13:20Z,0.4
68,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2018-08-20T13:59:03Z,0.16666666666666669
69,Positive Comment,Faizan Khatri,Best tips bro.,0,2018-08-19T07:47:36Z,1.0
70,Positive Comment,LATEST UPDATES WhatsApp status,Nice video sir! Really helpful,0,2018-08-12T13:08:03Z,0.475
71,Positive Comment,Br. Mahabal,"Sir I'm in final year of BCA from manglore university Karnataka, and I would like to request you to please give some ideas for doing some innovative projects",0,2018-08-07T10:58:57Z,0.25
72,Positive Comment,Vaishnavi Ghadge,Thank you so much Hitesh sir..,0,2018-07-28T12:35:33Z,0.2
73,Positive Comment,akash patel,Yaa you should create more videos,0,2018-07-19T11:23:22Z,0.5
74,Positive Comment,Dominic Johnson,thankz and Plz give more tips,0,2018-07-18T17:10:56Z,0.5
75,Positive Comment,D.S Dhéerâj,Hi Hitesh I am a beginner in Java programming . Can you tell which should I first focus on is it  solving complex problems or directly start   with building projects like web application and websites .,0,2018-07-17T04:41:49Z,0.016666666666666673
76,Positive Comment,Manikanta Ramireddy,i plan to start learn python but in every videos and tutorials having only basics what i do for learn full python programming?,0,2018-07-16T07:00:50Z,0.175
77,Positive Comment,Muneeb Mughal,"You must Mention in description 5 Tips so experience people just have to get idea from the that e.g 
Tip-4 Under Standing Work Flow of Project . 
So some one read it and clickec idea in mind . 
Rest I appreciate your videos its informative . :)",0,2018-07-13T12:34:38Z,0.5
78,Positive Comment,GAMING GHOST,you run computer much mooooore!! because your eyes are not at fixed place,0,2018-07-11T19:45:28Z,0.20625
79,Positive Comment,Mohammed Irfan T,very useful concepts but background music is distracting,0,2018-07-10T11:52:40Z,0.39
80,Positive Comment,Sumit Kumar,Awesome sir.,0,2018-07-08T09:50:56Z,1.0
81,Positive Comment,thomas lekaasula,"thanks a bunch sir ,the video was helpful to me",0,2018-07-07T12:25:27Z,0.2
82,Positive Comment,Hema G,Good tips for us to improve logical building,0,2018-07-04T12:20:02Z,0.475
83,Positive Comment,Safeer Ahmed,Thanks Hitesh.  Cool tips to improve programming.,0,2018-07-04T00:37:56Z,0.275
84,Positive Comment,wizard033,"Smart bullshitter,I bet you're good in using others work and run with it....what a waste of time",1,2018-06-27T05:32:29Z,0.23809523809523805
85,Positive Comment,SHILPA PAWAR,U are so handsome ...,0,2018-06-26T17:40:26Z,0.5
86,Positive Comment,Santosh Thapa,nice commentory,0,2018-06-26T14:13:50Z,0.6
87,Positive Comment,Pavan Tanniru,Nice it's good to other,0,2018-06-20T11:53:18Z,0.3916666666666666
88,Positive Comment,Vibin Nellippalli,Really helpfull to me sir.Thank you..,2,2018-06-16T08:57:21Z,0.2
89,Positive Comment,_Roman,"hello sir i am new to programming 
sir i use hackerearth for coding is it at certain question i get stuck so should i look for logic written by other or leave that prblm",1,2018-06-14T20:17:13Z,0.07521645021645022
90,Positive Comment,The ARJ,can I learn free from your site?,0,2018-06-01T20:48:46Z,0.4
91,Positive Comment,Mohamed Hassan,"more experience more easier 
1- keep moving on
2- phase new problems every single day 
3- check others coding 
4- stackoverflow help
5- working on projects",462,2018-05-27T22:26:51Z,0.2662337662337662
92,Positive Comment,Other Guy,"1)Keep MOving On- Dont be stuck
2)Face new problem Every single day
3)Check code written by other's
4)Take help from StackOverflow
5)Work on Project's (Important)",1,2018-05-24T03:52:07Z,0.08498376623376624
93,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2018-05-21T13:08:28Z,0.3333333333333333
94,Positive Comment,Music World,You are fantastic bro! Im very motivate with your giving thoughts about programming,0,2018-05-17T15:53:40Z,0.35
95,Positive Comment,Black Ghost,Well said my friend. Thanks for the logical reason.,0,2018-05-16T23:55:02Z,0.225
96,Positive Comment,Shrikant Aloney,"Nice vedi sir I like it
And I always seen your vedio",0,2018-05-06T13:34:46Z,0.6
97,Positive Comment,Sumit D.,very informative & keep posting more videos..,1,2018-05-06T12:37:25Z,0.35
98,Positive Comment,nazir hussain,"1-keep moving
2-face new problems every day
3-check other people code
4-Take help from stackoverflow
5-working on the project",31,2018-04-25T11:01:35Z,0.005681818181818177
99,Positive Comment,S0 HS,Thanks for Tips but best way to programming Read Source Code and Replay is a key to understand programming !,0,2018-04-25T10:57:53Z,0.39999999999999997
100,Positive Comment,Ephrem Tadesse,awesome,0,2018-04-25T09:33:02Z,1.0
101,Positive Comment,Deepak kumar pradhan,Run the program in your mind first.. Or think what will be the logic. Programming is just mother tongue for respective language. If dont know what to say.. Then its a mountain for you,56,2018-04-22T03:42:16Z,0.125
102,Positive Comment,Riyaz Khan,Nice,0,2018-04-19T16:58:16Z,0.6
103,Positive Comment,Rida Afzal,"Hi, Hitesh Sir , you teach me better then ever before . But i am in BSIT, I  feel difficulty in understanding programming language .",0,2018-04-15T10:57:11Z,0.5
104,Positive Comment,Jeevan pradeep,"Bro u were really awesome, put a video regarding, solving a competitive program",0,2018-04-04T17:57:02Z,1.0
105,Positive Comment,Mark Lee,You just earned a new subscriber!,0,2018-04-03T17:19:33Z,0.17045454545454544
106,Positive Comment,Nandhini Raja,Very nice video,0,2018-04-03T16:28:14Z,0.78
107,Positive Comment,16EBKCS042_Harshit Goyal,Sir best software for Python programming,0,2018-03-31T17:11:38Z,1.0
108,Positive Comment,Rakibul,Hello Hitesh Choudhary I have faced a problem it's may be annoying to answer for you because it's very common question in internet but I need your suggestion I am 27 now I was a CSE student but passed without good coding skill. last 2 years I was just out from coding or computer related job tried to do others thing but now I am back to programming and work as a junior front end designer but I would like to be a good JS developer but when I need to think about a problem or logic I can't think or solve what I should may be it's for long gap of programming.I decide to take a gap from job to learn coding aging but also Scared  about my old age. please give me a valuable suggestion . Thank you for all of your good videos,0,2018-03-25T19:19:08Z,0.096
109,Positive Comment,Tech News Dog,"Python from scratch!
most awaited video",0,2018-03-16T13:07:49Z,0.5
110,Positive Comment,Sagar Damedhar,nice video and I learn lots from this about my confusion,0,2018-03-13T16:39:15Z,0.6
111,Positive Comment,Sanket Kulkarni,Kindly make a video on Visual Basic. I am learning the same by my own but stuck in between. Thanks Hitesh! You are a STAR,0,2018-03-13T16:15:45Z,0.24166666666666667
112,Positive Comment,Kingsley Cross,"The steps you mentioned, I've been told before.  Good to hear from someone ""I've subscribed to"" give me the verbal perspective.  Like coding, I needed this again.",4,2018-03-11T06:05:24Z,0.7
113,Positive Comment,Priyanka Khadkikar,THANKS A TON,0,2018-03-08T16:21:29Z,0.2
114,Positive Comment,R_M,"Thankyou sir I hope it will have a major affect in my upcoming programming carrer
#THANKSALOT",0,2018-03-03T11:02:40Z,0.0625
115,Positive Comment,Tom Ambrose,"Great start to this video.. you aren't smart, you are INTELLIGENT..",5,2018-02-25T20:55:35Z,0.6047619047619047
116,Positive Comment,Dilkiawaaz,"Hi sir, I have a question I am unable build logics for few problems in competitive programming sites, please guide me how can I build logic for any problem? How to think?I hope you understood my question
I want to be a software developer,is it necessary to be perfect in competitive programming?",0,2018-02-24T14:40:56Z,0.07500000000000001
117,Positive Comment,Islamic Lectures,sir can u tell me how and what are the resources for making a language pack of my own mother tongue.,0,2018-02-16T14:27:55Z,0.6
118,Positive Comment,Moise Lubwimi,Thank you very much for your advice. And great video,0,2018-02-10T11:40:38Z,0.53
119,Positive Comment,Geetha Shree,Sir I'm very much impressed by your videos can you give me your email address plz,0,2018-02-08T15:14:47Z,1.0
120,Positive Comment,Abinaya kannan,Thank u so much G i will collect very useful information,0,2018-02-03T01:42:30Z,0.29500000000000004
121,Positive Comment,shruthi veera,"Good job Hitesh! It a motivating video ,making us feel anyone can code:)",1,2018-02-02T07:13:34Z,0.6875
122,Positive Comment,Arbaaz Ansar Khan,"1-keep moving
2-face new problems every day
3-check other people code
4-Take help from stackoverflow
5-working on the project",129,2018-01-25T03:20:11Z,0.005681818181818177
123,Positive Comment,Meet Div,"Hey you videos are cool, but imho this one deals with ""how to prevent programmer burnouts"" more than it explains how to build logic.

Simple steps would be -
1) identify the problem ex. print even numbers from 1 through 10
2) identify steps that need to be taken to arrive at an even number (n % 2 === 0)
3) check each instance of the problem to see if it satisfies given conditions ex. from 1 through 10
4) build a flow chart of the rough design
5) start coding as per flow chart

Writing code is actually not that important. The logic is. Code is just telling the computer what to do in its mother tongue.",15,2018-01-18T12:54:40Z,0.19166666666666665
124,Positive Comment,Shubham Sharma,"you really helped me a lot, huge respect",0,2018-01-16T16:48:23Z,0.30000000000000004
125,Positive Comment,Life On Two Wheel,Thanks for the great speech,1,2018-01-12T16:11:24Z,0.5
126,Positive Comment,Achala,you earned a subscription :P,0,2018-01-06T15:21:45Z,0.75
127,Positive Comment,ipyana mwaisekwa,Thank you very much for your inspiration. I do appreciate in advance .... and I think am going to be a good programmer.,0,2018-01-04T15:13:07Z,0.48
128,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2018-01-03T09:59:39Z,0.3565656565656566
129,Positive Comment,Mahamudul Hasan Rafi,Sir you are really superb!!!,0,2017-12-23T16:17:18Z,1.0
130,Positive Comment,D Gowtham,"Hi hitesh..you are posting valuable videos..pls post one more video about dynamically working E-commerce site like an amazon.com..how it's working,where is database to them,if anything else pls describe it",0,2017-12-22T03:17:27Z,0.5
131,Positive Comment,RAVIKIRAN BONDUGULA,Way of presentation and explanation skills really awesome .. useful for all programmers ... :),0,2017-12-16T20:17:45Z,0.6
132,Positive Comment,Ramyaa S,Love ur videos hithesh...,0,2017-12-13T14:14:05Z,0.5
133,Positive Comment,Sindhu Chinniah,Thanks for your Kindness,0,2017-12-06T06:37:01Z,0.2
134,Positive Comment,#chandu_Style,Awesome video sir,0,2017-12-04T14:13:13Z,1.0
135,Positive Comment,Amit Kumar Pal,Sir please tell us clear about bitcoin we can't understanding,0,2017-11-21T13:04:36Z,0.10000000000000002
136,Positive Comment,I m Joker,"Man, you are great. I just love your suggestion. Actually, the points you said here, I was confused about it before watching this, But I am sure about it. Like I was confused that should I start a project or learn more advanced things. But I just got a suggestion and I believe you are right. Thanks :)",0,2017-11-18T22:54:15Z,0.2623376623376623
137,Positive Comment,Digitalrishi,useful tips,0,2017-11-18T03:39:39Z,0.3
138,Positive Comment,chandragiri nani,please tell me about microsoft visual studio  and best project on .net language,0,2017-10-13T17:11:51Z,0.5
139,Positive Comment,Sonia Anastasia,"Are there any specific  websites for checking out code for processing ? I never really hear about processing anyone online just because its a ""pre-java"" language. I am just learning how to code and I want to see what kind of websites are the best to learn and observe processing code online !",0,2017-10-02T17:10:48Z,0.375
140,Positive Comment,Hafsa Sultan,"hey man , 
thanks for such helpful tips, m definitly gonna keep a check on them now.",1,2017-10-02T14:43:28Z,0.1
141,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,7,2017-10-01T19:22:21Z,0.12999999999999998
142,Positive Comment,jose munguia,Great video! Thanks,0,2017-09-29T15:56:36Z,0.6
143,Positive Comment,mudit mishra,"Hi Sir , I have been  coding  for few days and now i get familiar with  core java  but my  programming logics are not good enough ,i started solving codechef begineers problems ,but I wanted to learn android  .So to whom i give preference ? Is it is right time to move on android or  i have to wait till i became good in logics  .",0,2017-09-27T13:37:32Z,0.1351190476190476
144,Positive Comment,SHUBHAM UPADHYAY,"Really great video sir. I am a 4th-year student and want to get into one the great companies such as Amazon, Flipkart etc. as a developer there. I have been practicing a lot on CodeChef like websites but I take a lot of time to solve those problems. Please guide me for how can I improve problem-solving skills.",8,2017-09-15T16:05:30Z,0.5333333333333333
145,Positive Comment,Dhanashri Chakraborty,I don't get my many solutions in stack overflow also.. I have problem in string and array of c++,0,2017-09-08T19:34:30Z,0.5
146,Positive Comment,SONALI NARESH,why don't u offer these courses for free ? :/,0,2017-09-04T13:16:55Z,0.07500000000000001
147,Positive Comment,Abhishek Chavhan,"hey hitesh, please tell us the best books for top technologies in programming.",0,2017-08-29T13:56:16Z,0.75
148,Positive Comment,Ajay,"thanks for the video
these videos really helpful for me
beacuse  there are lot of questions in my mind that how I do this. how I leaning 
thanks again",0,2017-08-27T10:14:39Z,0.20000000000000004
149,Positive Comment,Sumit Rastogi,Very nice,0,2017-08-20T16:11:05Z,0.78
150,Positive Comment,Tarun Kumar,"Hi Hitesh, good work. Small request please try to add video summary at the end. like in short summarization of 5 points you said in video. Thanks",0,2017-08-17T19:12:38Z,0.16249999999999998
151,Positive Comment,Nandish Ajani,Could you please make a video for project managers? Do they need to be sound with programming skills?,0,2017-08-12T16:22:41Z,0.4
152,Positive Comment,Deepanshu Choudhary,thanx for being on youtube u r easing problems very well...,0,2017-08-07T15:06:12Z,0.2
153,Positive Comment,Can't Decode in CSV,Can't Decode in CSV,0,2017-07-20T11:04:54Z,0.3
154,Positive Comment,Sandip Majumder,Awesome broo i love programming and your channel,0,2017-07-20T09:57:55Z,0.75
155,Positive Comment,JOY JASWANT,Nice tips,0,2017-07-19T14:13:55Z,0.6
156,Positive Comment,Rishi Goley,"Sir! U are really awesome :)
Thanks you alot.",0,2017-07-18T20:40:50Z,0.5666666666666667
157,Positive Comment,Japneet Singh,Make a video about AI programming and how to use libraries of tenserflow and OpenAI thanks,1,2017-07-17T12:59:48Z,0.2
158,Positive Comment,Viral Cuties,thanks man for giving such brilliant ideas for logic building...keep making videos.,0,2017-07-15T20:11:47Z,0.3666666666666667
159,Positive Comment,Writing Sculp,"hello sir, i had saw your website and your courses, i'am a python learner and i saw a course about python but in the course there is nothing practical projects which developed by python. Can you add some projects which can developed by python 3???",0,2017-07-15T07:19:01Z,0.1
160,Positive Comment,Shubham Singh,sir can an electrical engineer be a good programmer.. and through which language should i be starting to get better employment in india.?,0,2017-07-15T00:16:03Z,0.39999999999999997
161,Positive Comment,Faheem Jag,sir please make a video on project flow.. i have completed my graduate in BCA but not yet got a proper guidance to build project. i will be also helpful for all those students how are in final year and are facing problems to build their project. i have also faced problems and and wasted huge amount of time just to thing from where to start.. lots of love for you.. thank you for making such wonderful videos.,0,2017-07-14T10:28:35Z,0.24285714285714288
162,Positive Comment,Hitesh Kumar,Very Helpful VideO Sir...,0,2017-07-11T15:10:15Z,0.2
163,Positive Comment,Khushali Sangani,"sir,thank u for your awesome video on api i want to learn more about api with php and why used postman to make api",0,2017-07-11T13:09:24Z,0.75
164,Positive Comment,pritam sarkar,very helpful....,0,2017-07-11T01:28:41Z,0.2
165,Positive Comment,Sini Vas,giving the tips easy but put into practice is difficulty .,0,2017-07-08T09:04:43Z,0.43333333333333335
166,Positive Comment,Mobile Development,Effective tips. Thanks a mole.,1,2017-07-05T18:45:48Z,0.4
167,Positive Comment,Sushil Mehta,how to implement a platform which can predict sentiment as well as be able to do name entity and phrase extraction  on given text using java ? pls suggest,0,2017-07-05T07:21:42Z,0.5
168,Positive Comment,Venkatesh Vellingiri,"is it posible to learn react native on windows 
there are lots of javascript frameworks,why particularly reactjs
can u do a video on reactjs and reactnative",0,2017-07-04T18:10:12Z,0.08333333333333333
169,Positive Comment,Mitul Jain,Heyy hitesh your videos are really awesome  and helping  a lot for beginners. I would recommend you to please speak on JavaScript .,0,2017-07-04T17:55:52Z,1.0
170,Positive Comment,Ayush Mishra,Sir may i know is eclipse is good for writing code for java.. Sir please reply i am a beginner in java,0,2017-07-04T17:26:58Z,0.7
171,Positive Comment,J B,nice one sir!,0,2017-07-04T16:44:29Z,0.75
172,Positive Comment,Super Virus,i dont understand why hitesh as to do whatever you want. he has his own work. you guys  had put lot of pressure on him to make android course and now for AI.,2,2017-07-04T15:45:36Z,0.6
173,Positive Comment,Raj,Old intro was better,1,2017-07-04T15:37:14Z,0.3
174,Positive Comment,geekPanther,"This is nice video Hitesh but make a video on MacOs or Windows for programming web sites and Projectsand also pros and cons because it was requested not only my me also 50+ of my friends Is you make a video on that we will be helped , Thanks.....",0,2017-07-04T15:27:22Z,0.26666666666666666
175,Positive Comment,Nishant Keshri,"Hi hitesh I am regularly watch your videos which are really worth to me and appreciate your communication skills, thanks for your contribution which you are giving to programming community.",0,2017-07-04T15:01:45Z,0.16666666666666666
176,Positive Comment,Shubham Saurav,Android Course is very good. I have built my own application in just two days which is just impressive for me.,8,2017-07-04T14:45:08Z,0.8366666666666666
177,Positive Comment,Nickk Haun,"Awesome apps ke naam pe business karha hain... Chomu ...awesome toh kahi b ni h, jo apps banaey h wo khi b mil jaeygay.. Saaf saaf bol na meri payable videos subscribe kro..",0,2017-07-04T14:16:14Z,1.0
178,Positive Comment,Ashish Kumar Saini,thanks.. for this video..most needed,0,2017-07-04T13:21:33Z,0.2
179,Positive Comment,Mizanur Rahman Khan,"Hi Hitesh, many many thanks for making this video. This video helps me a lot.
May God bless you, Hitesh.",0,2017-07-04T12:59:50Z,0.39999999999999997
180,Positive Comment,Rafik Chelsea Fc Blue,"I know the basics of java. But what is the best way to learn java on adnroid? To start building a app, if thas the right way, how or where to begin?",4,2017-07-04T12:43:21Z,0.6428571428571428
